nome_completo,filiacao_pai,filiacao_mae,data_nascimento,sexo,naturalidade,local_tirou_cidade,local_tirou_estado,estado_completo,data_emissao,validade_identidade,orgao_emissor,cpf
Maria Alice Pinto,Rafael Campos,Rafaela Pastor,14/06/1999,M,Barbosa de Goiás - SC,Melo Verde,MS,Estado de Mato Grosso do Sul,13/11/2023,13/11/2029,Instituto de Identificacao / SSP MS,618.858.469-80
José Miguel Casa Grande,Enzo Gabriel Cunha,Zoe Pimenta,13/02/1962,F,Ribeiro - TO,Gomes,MA,Estado do Maranhão,14/04/2021,14/04/2026,Instituto de Identificacao / PC MA,304.853.180-61
Isabel Casa Grande,Paulo Costela,Juliana Fogaça,05/06/2011,F,Ferreira de das Neves - CE,Nogueira de Dias,DF,Distrito Federal,12/06/2022,12/06/2029,Instituto de Identificacao,175.961.250-58
Emilly da Paz,Heitor Pinto,Raquel Freitas,17/08/1964,M,da Paz - MA,Pires da Mata,MS,Estado de Mato Grosso do Sul,10/12/2014,10/12/2024,Instituto de Identificacao,025.356.859-41
Lucas Oliveira,Dom Novaes,Isabel Brito,23/08/1994,F,Cardoso da Praia - RO,Ramos de Cardoso,MG,Estado de Minas Gerais,16/07/2014,16/07/2023,Instituto de Identificacao / PC MG,058.066.369-71
Ágatha Ramos,João Guilherme Nunes,Beatriz Silveira,23/10/2007,M,Montenegro de Minas - AM,Dias,AC,Estado do Acre,29/06/2023,29/06/2028,Instituto de Identificacao,896.260.814-60
Nicolas da Cruz,Cauã Nunes,Nina Brito,24/03/1995,F,Fogaça de Dias - GO,da Mota,SC,Estado de Santa Catarina,30/04/2014,30/04/2024,Instituto de Identificacao / SSP SC,983.440.035-07
Isabel Pimenta,José Pedro da Costa,Maria Cecília Marques,05/08/1992,M,Moraes - RN,Jesus Grande,DF,Distrito Federal,19/02/2024,19/02/2032,Instituto de Identificacao / SSP DF,750.977.561-58
Samuel Campos,Fernando Leão,Ana Liz Brito,16/12/1994,M,Carvalho - AC,Moreira de Abreu,RJ,Estado do Rio de Janeiro,01/05/2013,01/05/2022,Instituto de Identificacao / SSP RJ,508.577.061-25
Enzo Gabriel Vargas,Rafael Gomes,Ayla Santos,10/11/2011,M,Ferreira - AM,Costa,PR,Estado do Paraná,23/04/2022,23/04/2032,Instituto de Identificacao,360.986.401-37
Maya Pimenta,Gustavo Marques,Esther Fernandes,23/01/1958,M,Moreira de Duarte - RJ,Viana,AM,Estado do Amazonas,19/11/2018,19/11/2025,Instituto de Identificacao / SSP AM,675.555.413-53
Lívia Nascimento,Arthur Moreira,Catarina Fogaça,22/11/2004,M,Casa Grande - RR,Ribeiro de Montenegro,CE,Estado do Ceará,09/05/2024,09/05/2030,Instituto de Identificacao,494.700.522-00
Miguel Siqueira,Eduardo Cavalcante,Bianca Oliveira,08/07/1965,F,Novais - RR,da Rosa,TO,Estado do Tocantins,20/12/2024,20/12/2034,Instituto de Identificacao / SSP TO,395.776.447-23
Natália Viana,Anthony Vieira,Nicole Silva,17/08/2006,M,Fonseca da Praia - AL,Cardoso das Pedras,AL,Estado de Alagoas,29/09/2011,29/09/2018,Instituto de Identificacao,649.554.219-50
Maria Cecília Machado,Cauê Carvalho,Ana Beatriz Cavalcanti,10/04/1952,M,das Neves - RS,Oliveira Verde,RO,Estado de Rondônia,10/05/2024,10/05/2029,Instituto de Identificacao / SSP RO,710.184.004-68
Lucas Melo,Henry Gabriel Moreira,Eduarda Vargas,19/04/1971,F,Correia - PB,Viana do Galho,PB,Estado da Paraíba,24/10/2019,24/10/2028,Instituto de Identificacao,395.672.899-08
Lívia Rezende,Luan Nascimento,Maria Luiza Correia,26/11/1992,M,Carvalho de da Cunha - PI,Siqueira Grande,AP,Estado do Amapá,01/09/2016,01/09/2021,Instituto de Identificacao,979.347.013-41
Luna Almeida,Henrique Abreu,Milena Freitas,22/12/1936,M,Pires do Galho - CE,da Mota do Campo,GO,Estado de Goiás,15/11/2022,15/11/2028,Instituto de Identificacao / SSP GO,274.609.157-43
Stella Peixoto,Matteo Freitas,Ayla Abreu,11/09/1969,F,Camargo - TO,Rodrigues,PI,Estado do Piauí,13/11/2011,13/11/2020,Instituto de Identificacao / PC PI,275.084.355-95
Ryan Lima,Enzo Vasconcelos,Stella Cavalcante,06/02/1958,M,Costela - PA,Ferreira das Flores,MT,Estado de Mato Grosso,18/06/2016,18/06/2022,Instituto de Identificacao / PC MT,622.636.100-37
Levi da Mata,João Guilherme Farias,Aurora Barbosa,19/05/1990,F,Moura do Oeste - RN,Leão,PR,Estado do Paraná,07/11/2025,07/11/2035,Instituto de Identificacao,769.578.681-29
Maya da Costa,Anthony Monteiro,Alana Machado,14/01/1952,M,Barros do Oeste - GO,Almeida das Flores,RJ,Estado do Rio de Janeiro,22/01/2023,22/01/2032,Instituto de Identificacao,385.857.919-00
Daniela Rios,Samuel Cunha,Gabrielly Cassiano,02/03/1948,M,Brito - RN,Machado de Mendonça,AM,Estado do Amazonas,06/11/2019,06/11/2029,Instituto de Identificacao,101.038.095-26
Maria Luiza Borges,Joaquim Novaes,Ana Carolina Sales,11/05/1939,M,Carvalho - PA,Freitas,MG,Estado de Minas Gerais,29/02/2012,27/02/2017,Instituto de Identificacao,339.378.929-32
Dom da Mata,Paulo Vargas,Eduarda Nunes,08/02/1966,F,Garcia - PB,Alves do Oeste,AC,Estado do Acre,29/09/2022,29/09/2031,Instituto de Identificacao,842.214.317-71
Isabela da Mota,Matheus da Rosa,Lara Caldeira,21/03/1941,M,Sousa Paulista - RJ,Macedo do Amparo,GO,Estado de Goiás,28/08/2025,28/08/2031,Instituto de Identificacao,719.413.238-36
Leandro Andrade,Henry Gabriel Pereira,Isabela Almeida,03/03/1999,F,Borges de Lima - PA,Souza,MT,Estado de Mato Grosso,04/06/2024,04/06/2029,Instituto de Identificacao / PC MT,735.817.665-47
Maria Sophia Camargo,Matheus Pires,Maria Cecília Martins,06/05/1978,M,da Rosa - AC,Vieira de Siqueira,PE,Estado de Pernambuco,24/05/2015,24/05/2020,Instituto de Identificacao,337.183.221-73
Alícia Jesus,André Brito,Maria Cecília Moraes,23/05/1974,M,Garcia de Minas - AM,Viana,RO,Estado de Rondônia,13/11/2020,13/11/2027,Instituto de Identificacao / SSP RO,081.315.882-98
Arthur Cavalcanti,Benício Mendes,Luara Ferreira,20/05/1991,F,Ferreira - ES,Nunes,PR,Estado do Paraná,11/07/2014,11/07/2022,Instituto de Identificacao / PC PR,830.853.280-67
Aylla Melo,Marcos Vinicius Guerra,Rafaela das Neves,30/03/1993,F,Borges - RJ,Marques do Amparo,RS,Estado do Rio Grande do Sul,24/08/2024,24/08/2032,Instituto de Identificacao / PC RS,281.944.411-40
Isabelly Farias,José Siqueira,Maria Vitória Martins,29/07/2001,F,Oliveira da Serra - CE,Nunes,RO,Estado de Rondônia,31/12/2010,31/12/2015,Instituto de Identificacao / SSP RO,912.876.098-65
Ana Luiza Jesus,Vinícius Guerra,Maria Mendes,12/08/1992,F,Ramos - SP,Rodrigues de Rios,MG,Estado de Minas Gerais,26/03/2023,26/03/2028,Instituto de Identificacao / SSP MG,386.504.897-35
Maria Alice Cavalcanti,Theodoro Pinto,Ana Julia Cassiano,17/05/2021,F,Cirino de Rodrigues - AL,Borges,AC,Estado do Acre,24/12/2014,24/12/2022,Instituto de Identificacao / SSP AC,640.455.078-04
Aurora da Luz,Benjamim Oliveira,Juliana Caldeira,04/06/2009,M,Camargo - SE,Mendonça,MA,Estado do Maranhão,06/06/2019,06/06/2026,Instituto de Identificacao / PC MA,857.073.787-13
Eduardo Melo,Josué Albuquerque,Bella Carvalho,18/04/2009,M,Monteiro - BA,Andrade,MS,Estado de Mato Grosso do Sul,02/04/2014,02/04/2021,Instituto de Identificacao / PC MS,561.723.007-52
Yasmin Siqueira,Davi Miguel Pimenta,Hellena Aparecida,21/07/1977,F,Fonseca - PA,Cavalcante da Mata,PE,Estado de Pernambuco,08/12/2012,08/12/2017,Instituto de Identificacao / PC PE,407.370.267-28
Maria Cecília Nogueira,João Miguel da Luz,Alana Santos,04/05/2019,F,Costa - PI,Sá,CE,Estado do Ceará,25/12/2018,25/12/2023,Instituto de Identificacao / SSP CE,329.095.974-47
Ravi Barros,Pedro Lucas Carvalho,Ana Vitória da Costa,02/08/2015,M,Gonçalves - AM,Nogueira,AP,Estado do Amapá,18/08/2018,18/08/2025,Instituto de Identificacao / PC AP,504.083.855-16
Emanuella Rios,Marcelo Pinto,Ana Laura Pimenta,25/02/2012,F,Freitas de Camargo - PI,Cassiano,PE,Estado de Pernambuco,05/06/2022,05/06/2027,Instituto de Identificacao,435.743.446-34
Lorena Oliveira,Arthur Gabriel Moreira,Júlia Sousa,13/02/1996,M,Duarte - AM,Castro,RS,Estado do Rio Grande do Sul,04/06/2019,04/06/2028,Instituto de Identificacao / SSP RS,142.606.901-04
Breno da Cruz,José Miguel Rocha,Isabelly Ribeiro,09/01/1951,F,Araújo da Serra - AL,Cavalcante,AL,Estado de Alagoas,22/10/2016,22/10/2026,Instituto de Identificacao / PC AL,530.624.296-47
Calebe Pacheco,Davi Luiz da Mata,Isabelly Fernandes,30/03/1996,M,Cirino - RO,Fernandes,MG,Estado de Minas Gerais,01/05/2020,01/05/2025,Instituto de Identificacao / SSP MG,842.391.043-20
Sophie Barros,Pedro Henrique Mendes,Mariane Pimenta,31/01/1992,M,Barros de Azevedo - AM,Silveira de da Cruz,PI,Estado do Piauí,03/04/2018,03/04/2028,Instituto de Identificacao / PC PI,265.921.532-69
Juliana Pastor,Murilo Sales,Ágatha Azevedo,11/10/2013,M,Mendonça - SC,Caldeira de Goiás,RN,Estado do Rio Grande do Norte,29/01/2021,29/01/2030,Instituto de Identificacao,953.577.394-93
Liz Rocha,Pedro Miguel Novaes,Natália Macedo,20/02/1942,F,Ribeiro - AP,Almeida,MA,Estado do Maranhão,15/01/2013,15/01/2020,Instituto de Identificacao / SSP MA,066.631.332-33
Emanuelly Souza,Otto Guerra,Luiza Cavalcanti,17/03/1977,F,Almeida - MS,Araújo,PE,Estado de Pernambuco,31/05/2024,31/05/2032,Instituto de Identificacao / SSP PE,669.849.892-65
Diego Andrade,Bruno Casa Grande,Mirella Albuquerque,21/09/1962,F,Castro de Minas - MG,Gonçalves,DF,Distrito Federal,05/01/2023,05/01/2029,Instituto de Identificacao / PC DF,905.392.358-60
Valentina da Luz,Vitor Gabriel Alves,Ana Luiza Nascimento,27/11/1961,M,Novais - TO,Carvalho de Moreira,PB,Estado da Paraíba,07/10/2012,07/10/2019,Instituto de Identificacao,370.402.315-18
Maria Luiza Vargas,Enzo Gabriel Dias,Ana Laura Santos,20/02/2022,M,Souza do Campo - RN,Cunha,SC,Estado de Santa Catarina,13/05/2014,13/05/2022,Instituto de Identificacao / PC SC,256.138.772-83
Maria Clara da Mota,Davi Lucca Costa,Camila Nogueira,12/07/1942,F,Viana do Sul - MS,Mendes,BA,Estado da Bahia,15/01/2017,15/01/2026,Instituto de Identificacao / SSP BA,404.721.275-91
Lorenzo Albuquerque,Ravi Cunha,Liz Cunha,12/04/2004,F,Abreu de Minas - SP,Rodrigues,TO,Estado do Tocantins,22/11/2022,22/11/2028,Instituto de Identificacao / PC TO,220.174.013-32
Sophie da Luz,Bento Moreira,Isis Silva,02/12/1985,M,Pimenta - PE,Pimenta da Mata,PI,Estado do Piauí,02/12/2013,02/12/2019,Instituto de Identificacao,270.196.798-26
Gael Azevedo,Oliver Sales,Daniela Barbosa,24/07/2016,F,Teixeira de Ferreira - RR,Sá de Camargo,PI,Estado do Piauí,18/08/2023,18/08/2032,Instituto de Identificacao / SSP PI,105.424.082-97
Gael Aparecida,Rodrigo Gomes,Helena Araújo,15/08/1981,F,Aparecida - SC,Castro,SC,Estado de Santa Catarina,21/11/2017,21/11/2023,Instituto de Identificacao / PC SC,736.473.473-20
Danilo Moreira,Josué Montenegro,Isabel Nunes,17/06/1958,M,Casa Grande - PI,Monteiro da Serra,RR,Estado de Roraima,23/06/2020,23/06/2025,Instituto de Identificacao / SSP RR,747.766.241-90
Carolina Porto,Théo Viana,Raquel Câmara,09/06/1986,M,da Cunha - RJ,Ribeiro do Galho,AM,Estado do Amazonas,03/08/2015,03/08/2020,Instituto de Identificacao / SSP AM,527.565.405-25
Ana Vitória Lopes,Dante Cirino,Melissa Carvalho,28/03/2011,M,Aragão - PB,da Mota,RO,Estado de Rondônia,12/09/2023,12/09/2029,Instituto de Identificacao,828.401.061-23
Thomas Aragão,Lorenzo Duarte,Yasmin Rocha,12/04/1938,M,Rezende - GO,Vieira do Oeste,AP,Estado do Amapá,18/10/2017,18/10/2026,Instituto de Identificacao,060.098.345-79
Pedro Henrique Aragão,Yago da Paz,Daniela Sousa,19/01/2014,M,Câmara - AC,Rocha,RN,Estado do Rio Grande do Norte,04/06/2018,04/06/2026,Instituto de Identificacao,537.540.447-35
Anthony da Paz,Luigi Costa,Maria Sophia Novaes,07/11/1995,F,Nascimento - RR,Moura,TO,Estado do Tocantins,21/04/2013,21/04/2020,Instituto de Identificacao,966.639.457-00
Carlos Eduardo Rodrigues,Luiz Miguel Marques,Alana da Costa,02/09/1937,M,Souza do Sul - MT,Albuquerque,TO,Estado do Tocantins,13/06/2025,13/06/2035,Instituto de Identificacao / PC TO,432.807.723-98
Joaquim Rocha,Gael Henrique Abreu,Ana Liz Caldeira,18/03/1986,F,Leão do Norte - CE,Pinto Paulista,PA,Estado do Pará,01/05/2019,01/05/2026,Instituto de Identificacao / SSP PA,222.463.797-52
Isaque Moreira,Vitor Pereira,Fernanda Lima,08/05/1996,M,Azevedo Grande - MG,Monteiro de Araújo,GO,Estado de Goiás,07/02/2017,07/02/2023,Instituto de Identificacao / SSP GO,384.384.558-57
Asafe da Cruz,Antônio da Rocha,Hadassa Fogaça,20/06/1946,M,Machado - ES,Nascimento da Mata,AM,Estado do Amazonas,31/08/2016,31/08/2026,Instituto de Identificacao / PC AM,954.207.542-66
Melissa Vasconcelos,André Campos,Luana Campos,20/07/2021,M,Vasconcelos - MT,Fernandes,AL,Estado de Alagoas,17/12/2014,17/12/2024,Instituto de Identificacao / PC AL,413.176.403-94
Rafael Montenegro,João Miguel Duarte,Juliana Cavalcanti,18/07/1989,M,Silva das Pedras - AL,Pereira do Galho,BA,Estado da Bahia,22/11/2018,22/11/2023,Instituto de Identificacao / PC BA,411.346.852-50
Fernanda Cirino,Davi Miguel Andrade,Maria Laura da Rocha,10/11/2013,M,da Mata - RS,da Mota de Barbosa,BA,Estado da Bahia,02/08/2020,02/08/2027,Instituto de Identificacao / PC BA,466.276.922-10
Maria Julia Lima,Raul Carvalho,Aylla Souza,02/01/1966,M,Cassiano da Mata - RJ,Nogueira da Praia,MS,Estado de Mato Grosso do Sul,28/11/2013,28/11/2020,Instituto de Identificacao / PC MS,155.655.918-70
Anthony Vargas,Otto Santos,Alícia Carvalho,28/09/2005,F,Azevedo - SC,Carvalho,SP,Estado de São Paulo,18/06/2011,18/06/2016,Instituto de Identificacao,461.170.371-93
Hadassa da Cunha,Alexandre da Mata,Olívia Lopes,27/10/2018,F,Cavalcanti - MS,Caldeira,GO,Estado de Goiás,19/11/2022,19/11/2029,Instituto de Identificacao / PC GO,980.122.106-94
Ana Laura Montenegro,Otto Sampaio,Stephany Moura,31/03/1943,F,Lopes de Rios - SP,Campos de Cavalcante,DF,Distrito Federal,10/07/2015,10/07/2020,Instituto de Identificacao / SSP DF,742.409.531-79
José Miguel Sales,Valentim Alves,Marina Araújo,14/11/2008,M,Cunha de Costela - MS,Leão,RR,Estado de Roraima,18/06/2018,18/06/2027,Instituto de Identificacao,245.231.312-30
Vitor Gabriel Almeida,Arthur da Cruz,Sara Machado,22/10/1959,M,Martins Paulista - PI,Santos do Oeste,RO,Estado de Rondônia,28/08/2021,28/08/2029,Instituto de Identificacao / SSP RO,843.474.524-83
Ryan Cirino,Yan Novaes,Letícia Casa Grande,11/04/1964,F,Siqueira da Serra - AM,Casa Grande Verde,CE,Estado do Ceará,27/02/2020,27/02/2028,Instituto de Identificacao,396.906.396-14
Alana Mendonça,Yago Araújo,Milena Machado,16/06/1995,F,Fernandes de Goiás - DF,Jesus de Minas,MA,Estado do Maranhão,28/03/2020,28/03/2026,Instituto de Identificacao,750.949.355-58
Emanuella Oliveira,Lorenzo Rodrigues,Maria Laura Nogueira,13/02/1972,M,Costa de Ferreira - SE,Sá de Sales,PA,Estado do Pará,31/12/2021,31/12/2031,Instituto de Identificacao / PC PA,238.248.820-87
Luiza da Cunha,Vicente Lopes,Brenda da Cruz,30/07/2013,M,Azevedo - MS,Montenegro,MA,Estado do Maranhão,06/02/2017,06/02/2026,Instituto de Identificacao,167.063.562-07
Yago Martins,Leonardo Alves,Sara Cavalcanti,21/09/2024,F,Fogaça - GO,Machado,SC,Estado de Santa Catarina,27/06/2013,27/06/2019,Instituto de Identificacao,633.033.941-31
Eduardo Marques,Henry Alves,Stella Casa Grande,22/06/1951,M,Casa Grande do Galho - DF,Costela,MT,Estado de Mato Grosso,26/05/2011,26/05/2018,Instituto de Identificacao / PC MT,437.731.544-16
Rael Fonseca,Asafe Cavalcanti,Mariah Campos,16/02/1964,M,Andrade da Mata - BA,Cavalcante,TO,Estado do Tocantins,22/01/2015,22/01/2020,Instituto de Identificacao / PC TO,044.309.672-69
Vitor Hugo da Luz,Guilherme Campos,Maysa Aparecida,21/02/1981,F,da Cunha do Campo - AM,Leão do Oeste,PR,Estado do Paraná,28/12/2023,28/12/2031,Instituto de Identificacao,000.951.103-02
Ravi Lucca Duarte,Augusto Almeida,Maria Eduarda Barros,09/04/1938,M,Moraes das Flores - PR,Pastor Verde,DF,Distrito Federal,19/05/2019,19/05/2028,Instituto de Identificacao / PC DF,261.062.859-05
Erick Borges,Francisco Santos,Ana Lívia da Mata,14/12/2004,F,Alves - RJ,Dias do Sul,MG,Estado de Minas Gerais,23/03/2011,23/03/2017,Instituto de Identificacao / SSP MG,275.432.702-81
Vitor Farias,Gustavo Gonçalves,Maria Isis Castro,07/05/1955,M,Lopes - PA,Lima do Campo,PI,Estado do Piauí,20/09/2012,20/09/2020,Instituto de Identificacao / PC PI,855.580.073-83
Melina da Costa,Luiz Miguel Farias,Heloisa Fernandes,07/09/2011,M,Lima do Amparo - MS,Pastor,TO,Estado do Tocantins,02/04/2015,02/04/2023,Instituto de Identificacao / SSP TO,648.008.047-97
Benjamim Silveira,Paulo da Cruz,Maria Isis Farias,03/03/2019,M,Cassiano de Mendonça - MA,Cassiano Grande,DF,Distrito Federal,24/07/2023,24/07/2028,Instituto de Identificacao / PC DF,933.971.157-30
Cecilia Fernandes,Luan Viana,Zoe Casa Grande,08/07/2006,M,Barros - RO,Gomes das Pedras,PE,Estado de Pernambuco,18/05/2022,18/05/2032,Instituto de Identificacao,824.777.658-71
Lorena Costa,Guilherme Brito,Manuela Costela,17/02/2018,F,Albuquerque do Amparo - PR,Melo,PR,Estado do Paraná,19/04/2024,19/04/2031,Instituto de Identificacao,244.626.132-63
Stella Nogueira,Francisco Guerra,Sophia Carvalho,23/04/1999,F,Borges do Amparo - AP,Fernandes do Sul,BA,Estado da Bahia,07/03/2017,07/03/2024,Instituto de Identificacao / PC BA,830.146.108-82
Lucca Pimenta,Gustavo Henrique Caldeira,Eloá Novaes,13/10/1948,M,Pacheco do Sul - RJ,Fonseca das Pedras,PA,Estado do Pará,06/02/2015,06/02/2025,Instituto de Identificacao / SSP PA,094.048.286-73
Maria Liz das Neves,Davi Fernandes,Julia Silva,17/04/1967,F,Viana - TO,Melo,AL,Estado de Alagoas,02/11/2011,02/11/2017,Instituto de Identificacao,238.254.209-08
Yasmin Farias,Luan Barros,Clara Oliveira,25/04/1983,M,Rios de da Rosa - AM,Campos de Minas,PR,Estado do Paraná,05/10/2021,05/10/2028,Instituto de Identificacao,256.191.380-79
Melina Ribeiro,Luan Vargas,Milena Costa,04/02/1992,M,Vieira - PA,Camargo,PI,Estado do Piauí,27/01/2019,27/01/2028,Instituto de Identificacao / SSP PI,386.506.260-48
Carlos Eduardo Lopes,Theodoro Siqueira,Hadassa Cunha,08/11/1972,F,Rezende das Flores - TO,Vargas,GO,Estado de Goiás,24/01/2015,24/01/2025,Instituto de Identificacao / SSP GO,289.276.305-12
José Miguel Pacheco,Heitor Costela,Bella Barbosa,09/08/1995,F,Pinto - PA,Nunes,AC,Estado do Acre,11/04/2018,11/04/2024,Instituto de Identificacao,010.010.031-25
Giovanna Fonseca,Heitor Sales,Júlia da Paz,21/11/1987,M,da Rocha Alegre - RN,Macedo Verde,SP,Estado de São Paulo,14/02/2019,14/02/2027,Instituto de Identificacao / SSP SP,499.451.565-87
Leandro Ferreira,Vinicius Costela,Gabrielly Almeida,17/04/2024,F,Oliveira Verde - DF,Andrade de Barbosa,AC,Estado do Acre,16/08/2017,16/08/2022,Instituto de Identificacao / PC AC,587.348.130-55
Luna Jesus,Noah Vargas,Sabrina Oliveira,05/04/2013,F,Vargas - SC,Castro,RO,Estado de Rondônia,20/10/2015,20/10/2025,Instituto de Identificacao,926.305.738-81
Murilo Correia,Pedro Henrique Nunes,Zoe Macedo,19/06/1948,F,Caldeira - SP,da Mota,AM,Estado do Amazonas,12/12/2023,12/12/2030,Instituto de Identificacao / PC AM,823.163.737-74
Gael Ferreira,Bryan Ramos,Eloah Alves,08/10/1985,M,Peixoto - MS,Marques da Serra,PA,Estado do Pará,22/10/2024,22/10/2032,Instituto de Identificacao / SSP PA,572.560.266-04
Ana Liz Gonçalves,Nicolas Cavalcante,Kamilly da Mota,19/03/1975,M,Rodrigues de Vargas - AP,Santos,AC,Estado do Acre,18/06/2016,18/06/2026,Instituto de Identificacao,461.276.013-93
Melissa Cirino,Isaac Rezende,Melina Ribeiro,03/11/2010,F,Sousa Alegre - RJ,Farias de Goiás,CE,Estado do Ceará,17/08/2024,17/08/2029,Instituto de Identificacao,571.175.295-02
Vitor Hugo Lima,José Pimenta,Maria Isis Pinto,27/01/1953,F,Correia - BA,Leão,MS,Estado de Mato Grosso do Sul,30/08/2023,30/08/2028,Instituto de Identificacao,041.868.334-87
Alice Souza,Gustavo Aparecida,Nina Andrade,16/08/1985,F,Campos da Praia - AC,Sousa,SE,Estado de Sergipe,22/04/2018,22/04/2026,Instituto de Identificacao / PC SE,538.618.677-54
Elisa Siqueira,Pedro Guerra,Rebeca Macedo,06/12/1986,M,Cunha - MT,Borges da Serra,PA,Estado do Pará,28/10/2017,28/10/2022,Instituto de Identificacao / PC PA,692.615.498-35
Theodoro Rocha,Arthur Gabriel Lopes,Hadassa Rocha,23/09/1941,M,Araújo - PR,Macedo,PR,Estado do Paraná,31/10/2015,31/10/2024,Instituto de Identificacao / SSP PR,062.307.453-02
Ágatha Farias,Mateus Fonseca,Stella Pinto,25/06/1981,M,Siqueira - DF,da Rosa do Norte,PB,Estado da Paraíba,16/03/2025,16/03/2031,Instituto de Identificacao / PC PB,806.067.104-81
Matheus Dias,Caio Rezende,Sophie Rios,07/06/1936,F,Brito - RO,Sampaio,RN,Estado do Rio Grande do Norte,03/08/2012,03/08/2021,Instituto de Identificacao,515.878.863-04
João Gabriel da Rocha,Daniel da Luz,Bella Cardoso,15/10/1993,M,da Paz - DF,Teixeira,RJ,Estado do Rio de Janeiro,29/12/2013,29/12/2019,Instituto de Identificacao / PC RJ,506.217.633-60
Gael Monteiro,Yago Novaes,Evelyn Pereira,11/04/1955,M,Farias da Praia - RJ,Mendes do Amparo,RJ,Estado do Rio de Janeiro,25/05/2019,25/05/2026,Instituto de Identificacao,147.722.045-21
Bárbara Cavalcante,Oliver Almeida,Evelyn Ramos,26/03/1943,M,Cavalcanti do Amparo - SP,Castro de Minas,RO,Estado de Rondônia,05/05/2020,05/05/2029,Instituto de Identificacao / PC RO,670.914.614-06
Ravy Gomes,Luiz Otávio Duarte,Milena Azevedo,02/10/1984,F,Moura - PB,Novaes,PB,Estado da Paraíba,10/08/2015,10/08/2022,Instituto de Identificacao / SSP PB,165.646.530-58
Stephany Vargas,Valentim da Rosa,Marina Fonseca,06/11/1996,F,Borges - RR,da Conceição,CE,Estado do Ceará,01/06/2016,01/06/2021,Instituto de Identificacao / SSP CE,069.015.992-43
Lorena Melo,Ravi da Rocha,Alícia Azevedo,18/08/1974,M,Gonçalves Grande - AC,Montenegro da Prata,MT,Estado de Mato Grosso,05/08/2024,05/08/2029,Instituto de Identificacao / PC MT,989.371.905-04
Dom Caldeira,Fernando Nunes,Júlia da Luz,29/12/2011,M,da Conceição Alegre - MS,Duarte,RR,Estado de Roraima,29/12/2013,29/12/2023,Instituto de Identificacao,637.740.494-80
Antônio Sá,Fernando Vasconcelos,Mariah Araújo,20/12/2014,F,Gomes - TO,Duarte da Serra,SC,Estado de Santa Catarina,24/02/2017,24/02/2025,Instituto de Identificacao / SSP SC,131.759.251-50
